placeid,population,autoroute,housing,est811111,est811112,est811113
120375,6098,1,106443,98,10,8
122530,5220,0,3431,25,1,4
123110,8869,0,7559,32,0,0
123930,9520,1,13821,86,2,13
132116,17013,0,17450,16,4,3
136016,4150,0,31709,37,2,0
136800,5089,1,32044,12,3,0
137364,13541,0,13590,17,1,0
138536,5696,0,31555,8,0,0
144255,6784,1,9001,20,0,0
146944,7290,1,96121,23,2,0
147280,5504,0,8694,22,0,0
153825,9815,0,13082,13,2,0
153872,10639,0,31761,45,6,0
153935,11360,1,7936,38,2,0
154376,15857,0,31554,32,1,1
156550,25478,0,32437,14,0,0
161990,6187,0,31553,64,4,8
162350,4182,1,6650,11,1,0
163175,6230,1,15580,22,0,0
171200,5376,0,32448,25,1,1
176150,6847,0,9645,14,0,3
178232,4169,0,31017,33,0,3
181007,15288,0,23339,21,0,0
188800,4410,0,18077,25,0,0
191135,5741,0,42303,19,0,0
191300,4289,0,25421,22,2,1
193520,7257,0,12114,11,0,0
194390,6200,0,83404,16,1,0
198208,6144,0,30410,16,0,0
199700,50730,1,42304,40,2,4
200125,6543,1,9775,19,0,0
201080,10106,0,11673,22,0,0
202315,5924,0,8360,9,0,0
202720,4573,0,9365,0,3,0
202765,7812,0,12582,18,0,0
203080,5369,0,9670,20,0,0
203256,22698,0,31054,38,6,5
205775,4019,0,4605,5,0,3
206756,9323,0,31312,45,2,7
207265,7597,0,10264,15,0,0
209945,7339,0,9843,14,0,0
210704,4295,0,30523,18,0,0
210956,15333,0,30631,32,6,6
213536,15369,0,61531,9,0,5
213625,4564,0,4084,13,0,0
214650,5450,1,3562,11,0,0
215200,5714,0,6618,21,0,0
215889,18558,0,62682,32,3,0
216445,9509,0,12545,16,3,6
218250,25176,0,12595,18,2,2
220975,46342,1,56548,41,4,4
221275,26760,1,16286,45,0,3
223978,5893,1,16688,13,4,3
224000,8297,1,12919,11,0,0
224500,5282,0,6762,12,2,0
225325,28451,1,13763,38,3,4
225912,8631,0,62330,20,0,0
226875,4948,1,3184,23,0,0
227420,17257,0,83402,14,0,2
230222,4211,0,62421,7,0,0
231100,20013,0,12892,53,0,0
232100,6835,0,83431,23,3,0
233625,40787,0,33683,60,5,6
239825,19666,0,11594,33,3,3
240565,8312,0,16667,30,2,1
241114,13019,1,25779,30,3,4
243792,5294,0,62314,18,0,0
243950,13770,0,11830,31,0,3
244705,8751,0,13425,11,0,0
245110,22697,0,25005,41,3,0
245362,4806,1,24090,18,0,0
249835,4659,1,11172,13,0,3
250515,4693,1,24829,12,1,2
254686,6139,1,22803,19,1,0
254740,4098,0,14077,20,0,3
255248,7845,0,47959,13,3,0
257625,6570,0,7091,13,3,0
261024,8993,0,30974,17,3,3
261400,5104,0,8016,4,0,0
261740,11304,0,18585,28,1,7
261825,4696,0,3871,12,0,3
261924,10384,0,28567,34,0,2
262700,45679,1,25450,95,4,9
263418,5914,1,20483,8,0,0
263945,5270,1,8602,27,0,3
265630,10076,0,10516,21,0,0
267090,7064,1,62556,118,18,20
268300,10849,0,42111,13,6,0
268962,4132,0,28000,15,3,0
270852,6295,0,34226,5,3,3
270928,8820,1,19385,43,0,7
271975,5960,0,5691,10,0,0
272320,10000,0,32831,30,3,1
272335,7047,0,11449,18,2,0
273138,6536,1,18208,17,0,0
273420,4145,0,17916,27,6,4
273545,17865,1,21211,37,6,0
275000,5295,0,16032,37,3,3
275068,11917,0,16300,11,3,0
275845,5190,0,10533,3,0,0
276540,8137,0,11169,6,0,0
277300,13178,0,32090,19,2,3
280530,13829,0,55079,44,7,4
283870,8192,0,7692,15,0,0
285832,7348,0,21766,20,0,0
286655,20546,1,23733,5,0,0
290330,10889,1,13018,22,5,0
290825,9511,0,17371,30,4,2
290906,13471,1,18174,21,3,0
292485,5439,0,13676,8,0,0
294255,4795,0,20134,29,0,0
295118,7764,0,19477,27,6,0
295340,6603,0,17446,28,0,0
296300,4323,0,16152,12,0,1
296976,9143,0,11183,24,3,3
297966,6050,1,42390,69,3,6
298470,4543,0,24323,18,1,2
298650,4769,0,7909,22,0,1
299360,7010,0,17748,18,0,2
300054,4209,1,7247,4,0,0
300828,8312,1,17149,10,0,0
300960,8154,0,26455,15,2,1
301040,6703,0,7719,5,0,0
301060,6293,0,14906,10,0,0
301566,4122,0,6580,7,0,0
301675,9417,1,18331,8,1,0
302460,5749,0,8682,11,0,0
303300,5549,0,26455,20,1,2
304986,9311,0,10791,22,3,0
305340,5987,1,17803,11,4,0
308564,4617,1,8985,12,0,0
309340,18425,0,22395,23,1,3
310688,12735,0,9287,21,0,0
310905,8959,0,9773,21,0,0
311020,44779,1,58600,59,9,15
311397,33892,1,30262,49,5,5
313390,12496,0,11687,23,0,3
313720,5346,0,9002,37,0,0
313900,4079,0,16409,8,0,0
314242,5068,0,5579,18,0,0
315264,13666,0,26304,31,0,4
316042,13594,0,12185,17,0,1
318605,5634,0,4004,17,0,0
321388,4280,0,6810,23,0,0
323280,13337,1,26221,22,0,3
323656,5459,0,8809,8,0,0
323820,6080,0,26170,50,6,4
324600,4200,0,20728,26,0,2
326410,4262,0,5733,9,1,0
326640,39968,1,44954,79,2,13
326655,4671,0,5841,26,0,0
327040,4695,0,7949,9,0,0
328580,7751,0,16494,15,0,4
329026,16988,0,16076,36,3,0
330440,18464,0,27544,19,2,5
331168,12155,1,15563,29,3,0
331450,4729,1,4168,11,0,0
331740,16542,1,14322,23,1,6
332640,5636,0,6518,23,0,2
332800,56690,1,35225,45,8,10
334570,8410,0,9391,8,3,3
334840,11756,0,18346,24,1,4
335050,9621,0,8261,31,0,3
335055,27431,1,19797,34,2,7
335140,10331,0,17903,26,3,0
335600,25780,1,26747,48,10,9
336316,12433,0,10019,32,3,0
336640,10581,0,8909,18,3,2
337504,4294,0,15987,18,0,0
339925,7994,0,8496,8,0,0
340340,14532,0,43990,102,9,15
340402,4574,0,15271,16,2,0
340420,18351,0,21598,26,3,0
340798,4490,0,7625,27,0,0
341032,27069,0,23929,34,7,3
341734,11283,1,11069,17,3,0
343375,5813,0,5558,11,0,3
343500,4041,0,4439,5,0,0
343975,6851,1,6948,20,3,3
344100,7536,0,9732,24,0,0
344615,23516,0,21721,60,3,9
345000,23878,1,15438,28,3,0
345980,4930,1,6622,16,0,0
347275,4544,0,35638,40,5,6
349096,16651,0,20096,23,0,7
349525,8487,1,5360,14,0,5
350200,57053,1,40065,54,4,4
351780,35582,0,29272,43,0,3
352912,16367,1,21357,57,3,0
354245,14732,0,16899,22,0,4
355220,10692,0,7847,4,2,0
355234,4854,0,11345,15,0,0
355295,6282,1,5057,3,0,0
355675,5199,0,38683,61,8,7
356030,11925,1,51415,71,12,17
356440,20339,0,22466,37,3,4
358360,5197,0,9049,15,3,0
358750,4041,0,9906,16,1,0
361520,14550,0,12435,16,3,0
361840,5583,0,9118,21,0,0
362150,25625,0,17093,36,7,3
364045,8081,1,10639,23,0,3
367900,4774,0,5203,11,3,0
368928,10866,0,16626,38,7,3
370270,14116,1,11291,19,0,0
373800,24631,0,16731,26,0,2
376628,4533,1,21717,31,0,2
378388,18740,1,26886,46,3,4
378460,20209,1,18812,7,1,0
380490,8806,1,10145,12,4,0
387200,55532,1,39187,41,6,8
389597,4263,0,18372,12,0,0
389940,14565,1,13176,22,0,3
391600,19461,0,132640,304,21,38
398077,29287,0,44786,30,4,1
399420,7222,0,7205,9,3,0
399620,16010,1,10695,46,3,4
401700,21447,0,17091,6,0,0
401800,5288,0,6251,4,0,0
403730,4721,1,3315,12,0,0
404200,66715,0,58805,88,6,6
404710,6075,0,12620,18,0,0
404800,7174,1,9343,21,0,0
405700,90599,1,67667,114,14,13
405720,5897,0,29698,19,0,3
411820,4516,0,5013,19,0,0
411850,19603,0,23599,42,2,4
413650,9860,1,7006,21,0,3
414881,13292,1,33069,52,0,0
414930,45293,0,24713,51,3,12
415210,7698,0,16214,15,0,1
419204,4180,0,29348,19,3,1
420580,15527,1,9817,15,0,4
421940,9706,0,48824,46,0,7
423260,10545,0,14066,22,0,0
423500,10510,1,16075,8,2,2
423540,8877,1,7444,19,0,0
423950,47045,0,29242,31,12,12
425233,5041,0,12635,23,0,1
426200,4700,0,17404,19,2,0
427800,4637,0,6671,0,0,0
429199,6003,0,41805,12,2,0
429840,7289,1,8727,5,0,0
429900,16718,1,37836,33,6,4
429910,5989,1,8528,10,0,0
431750,10472,0,8014,14,0,0
436595,6367,0,3106,8,1,1
439092,5171,0,18296,17,3,0
440550,23003,1,36425,36,5,3
443660,5148,1,27498,43,0,0
443750,4631,0,26009,40,0,4
444800,17783,1,18531,12,0,3
446600,4592,0,23615,32,6,3
449700,19462,0,26605,26,0,2
450350,12327,1,11867,30,3,4
455250,5078,0,8319,12,0,0
456816,14895,0,34292,53,0,0
459527,4724,0,34893,38,4,4
460100,24658,0,15861,32,3,1
461180,6826,1,5599,8,0,0
462660,8586,0,8309,9,2,0
463000,8998,1,27010,64,0,0
465700,4114,1,7462,2,1,0
466220,12512,0,10124,23,0,3
467150,16354,1,11090,33,4,0
467580,18504,1,13941,22,3,3
471250,5844,0,34728,27,7,3
475000,4199,0,22557,32,0,0
477180,5802,0,19081,8,0,0
478950,4658,0,6669,2,0,0
481000,115930,1,60230,120,11,10
482104,5786,0,7522,2,0,0
482150,11853,0,9821,16,0,0
483216,9652,0,5400,23,0,0
483700,4352,0,10913,13,3,0
485456,4243,0,4888,4,0,0
488236,25233,1,14249,18,6,0
489556,14302,0,13686,14,0,0
489640,5219,1,12959,16,6,0
489916,5523,0,5005,9,0,0
490132,5868,0,6506,10,3,0
490220,4129,0,6138,7,0,0
490720,9488,0,5087,7,6,0
490780,18813,0,19115,36,6,9
491060,11893,0,9426,13,0,3
491776,6762,1,29816,49,0,0
493108,6664,0,10524,17,1,3
493732,5678,0,13661,31,0,8
494668,6778,0,4803,1,0,0
495916,5127,0,5248,11,0,0
496192,4482,0,8405,14,0,0
497744,7141,0,9893,18,0,3
498524,7237,0,4457,13,0,0
499792,33867,0,18195,40,6,1
500220,6540,0,7676,9,1,0
501320,20527,1,13618,28,0,0
501556,13747,0,7478,19,1,0
501892,22413,0,14889,16,0,0
502810,9348,0,14889,9,0,0
503080,12765,0,36922,17,2,2
503100,14558,1,10531,11,6,6
505368,5297,0,7651,11,0,0
506808,7846,1,6338,15,0,0
509600,13876,0,8252,12,3,6
510392,8716,0,12691,13,2,3
513008,4498,0,8279,5,0,0
513530,4505,0,9092,7,0,0
514088,8232,1,16240,7,0,3
517420,8247,0,15711,34,0,8
521164,9952,0,5500,12,0,0
521464,176576,1,55700,90,3,20
522448,12866,0,9148,15,3,0
523024,6507,1,7931,10,0,0
523132,5433,1,24456,21,4,6
524275,5153,0,17568,24,3,0
525996,4159,1,16245,14,0,1
526700,9765,0,11767,2,2,0
529300,20237,1,13950,35,3,6
529968,4530,0,6561,12,2,0
530100,16461,0,23202,22,3,5
533060,13528,0,12063,25,3,6
534684,5153,0,7957,6,0,0
534708,17598,0,21954,42,6,3
534912,17887,0,14871,9,0,5
536516,9501,1,6281,10,0,0
536912,7774,0,4504,9,0,0
537440,6845,0,20012,21,0,1
537980,22336,1,14314,41,0,4
538916,12035,0,17031,25,0,0
539396,4167,0,1811,0,0,0
539600,8346,1,21980,17,3,0
540700,4779,0,5389,21,0,0
542138,5553,0,30771,14,0,3
542680,6117,0,25978,38,5,3
544170,4988,0,9277,26,0,0
544275,6252,0,18612,29,2,0
544472,88439,1,43916,97,3,12
546764,5910,0,5410,24,0,0
548560,4028,0,15918,5,3,0
548850,5005,0,13223,33,0,3
550155,5757,0,33620,23,2,5
550190,13658,0,34818,25,0,6
550208,14921,0,14422,21,0,6
551240,15414,1,16139,30,0,0
551540,11415,1,8090,16,0,0
552030,8402,0,10230,20,0,6
552250,8560,0,17029,27,0,0
553225,8620,0,12927,20,0,0
553570,6847,1,8775,12,0,0
553868,5117,1,3315,7,0,0
554588,14929,0,9814,23,0,3
554670,4299,0,5760,40,0,6
555308,11660,1,9382,10,3,0
557528,4871,1,22609,27,0,1
560716,4856,0,6167,6,0,0
561225,17292,0,29588,66,6,0
562300,9097,0,28149,21,1,3
564580,7032,0,20797,24,0,0
570090,7714,0,7394,8,0,3
570350,4220,0,12343,12,0,0
573150,49644,1,29882,79,9,7
573900,53011,1,35755,62,3,11
575760,8835,0,9481,37,6,1
581125,5288,1,5764,12,0,0
581340,4721,0,12353,27,0,3
583904,4403,1,24532,22,0,0
585620,11507,1,9642,28,0,0
591855,19646,1,13288,46,3,3
599675,18800,0,24513,26,2,3
600120,8647,0,10267,26,0,3
600425,4350,0,14384,25,0,0
604708,4637,0,27786,12,1,0
605050,27204,1,15215,46,1,0
607105,27856,0,33620,33,5,4
607108,4031,0,17156,25,0,0
607297,4707,0,27791,20,2,1
615050,6018,0,12137,9,0,2
617200,7735,0,24756,29,0,3
617350,8320,1,23433,26,6,3
617625,5114,0,11238,13,0,0
622450,5373,0,7031,9,0,0
623900,8538,1,4902,17,0,0
627875,9437,0,15012,28,0,0
629845,15804,0,12577,28,1,3
631325,12639,0,26966,56,3,6
632925,4335,0,14591,12,0,0
637530,5776,0,7820,22,0,0
